Nome,Dono,Idade (anos),Dias desde última atualização,Linguagem,Releases,Pull Requests,Issues Fechadas,Total Issues,Taxa de Fechamento de Issues,Stars
freeCodeCamp,freeCodeCamp,10,0,TypeScript,0,24325,18727,18892,0.9912661443997459,410040
free-programming-books,EbookFoundation,11,0,HTML,0,6787,1130,1159,0.9749784296807593,350441
awesome,sindresorhus,10,0,Unknown,0,661,335,347,0.9654178674351584,347126
build-your-own-x,codecrafters-io,6,0,Markdown,0,140,534,726,0.7355371900826446,334487
public-apis,public-apis,8,0,Python,0,1872,603,651,0.9262672811059908,327575
coding-interview-university,jwasham,8,0,Unknown,0,415,458,509,0.899803536345776,311898
developer-roadmap,kamranahmedse,7,0,TypeScript,1,3315,2521,2661,0.9473881999248402,308372
system-design-primer,donnemartin,7,0,Python,0,199,87,318,0.27358490566037735,289171
996.ICU,996icu,5,0,Unknown,0,1068,0,0,0,270261
awesome-python,vinta,10,0,Python,0,543,0,0,0,234037
react,facebook,11,0,JavaScript,103,11340,12730,13510,0.9422649888971133,232274
project-based-learning,practical-tutorials,7,0,Unknown,0,182,78,190,0.4105263157894737,217679
awesome-selfhosted,awesome-selfhosted,9,0,Unknown,1,2393,803,803,1.0,216638
vue,vuejs,11,0,TypeScript,249,1136,9663,10017,0.9646600778676251,208357
Python,TheAlgorithms,8,0,Python,0,2911,1492,1556,0.9588688946015425,197335
javascript-algorithms,trekhleb,6,0,JavaScript,0,302,227,356,0.6376404494382022,190106
tensorflow,tensorflow,9,0,C++,213,29014,39423,40230,0.9799403430275914,187998
linux,torvalds,13,0,C,0,10,0,0,0,187741
You-Dont-Know-JS,getify,11,0,Unknown,0,367,855,936,0.9134615384615384,181002
CS-Notes,CyC2018,7,0,Unknown,0,374,448,596,0.7516778523489933,178868
ohmyzsh,ohmyzsh,15,0,Shell,0,3288,4759,4891,0.9730116540584748,176064
computer-science,ossu,10,0,Unknown,0,281,628,642,0.9781931464174455,175361
AutoGPT,Significant-Gravitas,1,0,Python,41,2575,2972,3139,0.9467983434214718,171511
bootstrap,twbs,13,0,JavaScript,89,8842,22118,22617,0.9779369500817969,171398
flutter,flutter,9,0,Dart,7,40824,90153,103280,0.8728989155693261,168619
vscode,microsoft,9,0,TypeScript,156,31095,181729,190388,0.9545191923860747,167381
gitignore,github,14,0,Unknown,0,1573,0,0,0,164398
